STATE,NAME,row,functioning_counties,functioning_mcds,functioning_places,functioning_aianas,county_equivalents,census_county_divisions,nonfunctioning_cdps_incorporated_places,nonfunctioning_aianas,census_tracts,block_groups,blocks,all_counties,all_county_divisions,all_places,all_aianas
0,United States,10th Decile Median Population,430064,15262.5,40269,12321,864835,53570.5,15421,27656.5,6859,2569,198,456609.5,31676,28639,21893.5
0,United States,10th Decile Mean Population,696032,29948,82747,24096,974804,109145,24639,111272,7255,2799,279,707068,71494,61364,68771
0,United States,10th Decile Highest Population,10014009,2736074,8804190,165158,1632002,3464066,887642,813184,37892,37892,8727,10014009,3464066,8804190,813184
1,Alabama,Number,67,0,462,2,0,390,131,6,1437,3925,185976,67,390,593,8
1,Alabama,Number with 0 Population,0,0,0,0,0,0,0,0,3,4,57610,0,0,0,0
1,Alabama,Median Population (Non-0),34772,0,1283,194,0,4893,746,17651,3369,1172,19,34772,4893,1119,9677
1,Alabama,Mean Population (Non-0),74989,0,6680,194,0,12883,1811,31645,3504,1281,39,74989,12883,5604,23783
1,Alabama,1st Decile (>0) Lowest Population,7730,,14,,,338,22,,2,2,1,7730,338,14,
1,Alabama,1st Decile (>0) Median Population,10334,,114,,,926,71,,1366,528,3,10334,926,100,
1,Alabama,1st Decile (>0) Highest Population,10600,,170,,,1417,132,,1642,631,4,10600,1417,159,
1,Alabama,2nd Decile Highest Population,14785,,316,,,2143,170,5482,2172,776,7,14785,2143,258,107
1,Alabama,3rd Decile Highest Population,19323,,548,,,3172,241,6184,2638,906,10,19323,3172,445,281
1,Alabama,4th Decile Highest Population,24971,,806,107,,3998,399,,3066,1036,14,24971,3998,746,5482
1,Alabama,5th Decile Highest Population,34772,,1280,,,4890,746,13170,3367,1172,18,34772,4890,1104,6184
1,Alabama,6th Decile Highest Population,49326,,1982,,,6076,1084,22131,3754,1319,25,49326,6076,1825,13170
1,Alabama,7th Decile Highest Population,65342,,3176,281,,8595,1661,,4186,1478,34,65342,8595,2624,22131
1,Alabama,8th Decile Highest Population,97612,,6457,,,12605,2903,57896,4635,1725,48,97612,12605,4941,57896
1,Alabama,9th Decile Highest Population,223024,,15014,,,24489,4940,85009,5436,2074,82,223024,24489,12578,85009
1,Alabama,10th Decile Median Population,309960,,25712.5,,,45070,7406,,6035,2392,134,309960,45070,21564,
1,Alabama,10th Decile Mean Population,360907,,45966,,,74117,8583,,6408,2561,191,360907,74117,38994,
1,Alabama,10th Decile Highest Population,674721,,215006,,,447941,17731,,11650,5534,2635,674721,447941,215006,
2,Alaska,Number,19,0,149,1,11,37,206,221,177,504,28568,30,37,355,222
2,Alaska,Number with 0 Population,0,0,0,0,0,0,5,4,0,0,16803,0,0,5,4
2,Alaska,Median Population (Non-0),7793,0,413,1562,5753,4120,161,212,4318,1242,30,6281,4120,247,212
2,Alaska,Mean Population (Non-0),34539,0,3344,1562,7014,19821,1087,1238,4143,1455,62,24446,19821,2019,1217
2,Alaska,1st Decile (>0) Lowest Population,662,,21,,2365,71,1,1,5,5,1,662,71,1,1
2,Alaska,1st Decile (>0) Median Population,753,,53,,2365,87,7.5,2,957,521,2,844,87,15,2
2,Alaska,1st Decile (>0) Highest Population,844,,78,,2365,662,15,23,1456,666,4,1240,662,25,23
2,Alaska,2nd Decile Highest Population,1476,,127,,2617,1240,35,62,2124,824,9,2080,1240,60,62
2,Alaska,3rd Decile Highest Population,2080,,206,,4857,1619,60,97,2730,970,14,2617,1619,99,97
2,Alaska,4th Decile Highest Population,3398,,276,,5232,2617,96,152,3459,1112,21,4857,2617,169,152
2,Alaska,5th Decile Highest Population,7793,,413,1562,5753,4120,161,212,4318,1240,29,5753,4120,253,212
2,Alaska,6th Decile Highest Population,11031,,509,,6808,5914,254,357,4716,1446,41,7793,5914,428,357
2,Alaska,7th Decile Highest Population,13948,,640,,7102,8368,525,456,5165,1655,56,10046,8368,615,462
2,Alaska,8th Decile Highest Population,58799,,835,,8368,13101,1103,615,5746,1962,82,13948,13101,1021,621
2,Alaska,9th Decile Highest Population,107081,,3985,,10046,52885,2747,931,6817,2494,145,58799,52885,3102,951
2,Alaska,10th Decile Median Population,291247,,6874.5,,18666,107081,5833,3794,7470,2956,232,107081,107081,5918,3794
2,Alaska,10th Decile Mean Population,291247,,30427,,18666,164661,7357,10315,7883,3329,297,164661,164661,16508,10344
2,Alaska,10th Decile Highest Population,291247,,291247,,18666,291247,19297,81495,10885,9798,1637,291247,291247,291247,81495
4,Arizona,Number,15,0,91,21,0,80,376,0,1765,4773,155444,15,80,467,21
4,Arizona,Number with 0 Population,0,0,0,0,0,0,2,0,12,18,47506,0,0,2,0
4,Arizona,Median Population (Non-0),125447,0,9005,1234,0,12178,506,0,3989,1412,40,125447,12178,742,1234
4,Arizona,Mean Population (Non-0),476767,0,62954,8262,0,89394,2572,0,4080,1504,66,476767,89394,14327,8262
4,Arizona,1st Decile (>0) Lowest Population,9563,,296,1,,8,2,,1,1,1,9563,8,2,1
4,Arizona,1st Decile (>0) Median Population,9563,,694,11.5,,492.5,34.5,,1527,593,4,9563,492.5,39,11.5
4,Arizona,1st Decile (>0) Highest Population,9563,,1323,22,,1816,54,,2024,746,6,9563,1816,75,22
4,Arizona,2nd Decile Highest Population,38533,,2478,200,,3207,124,,2650,958,13,38533,3207,154,200
4,Arizona,3rd Decile Highest Population,47669,,3995,221,,5531,189,,3159,1121,21,47669,5531,296,221
4,Arizona,4th Decile Highest Population,66021,,5231,1070,,8017,359,,3575,1273,30,66021,8017,494,1070
4,Arizona,5th Decile Highest Population,125447,,9005,1234,,11995,505,,3989,1412,40,125447,11995,758,1234
4,Arizona,6th Decile Highest Population,145101,,14197,3466,,19412,734,,4397,1586,51,145101,19412,1321,3466
4,Arizona,7th Decile Highest Population,213267,,35257,6377,,30939,1167,,4896,1768,66,213267,30939,2407,6377
4,Arizona,8th Decile Highest Population,236209,,53658,9561,,56300,1811,,5491,1989,88,236209,56300,5184,9561
4,Arizona,9th Decile Highest Population,1043433,,143148,14053,,101822,5184,,6313,2351,132,1043433,101822,16250,14053
4,Arizona,10th Decile Median Population,4420568,,267918,54425.5,,242327.5,12907,,6837,2670.5,204,4420568,242327.5,49489,54425.5
4,Arizona,10th Decile Mean Population,4420568,,451132,54426,,703986,18869,,7088,2870,283,4420568,703986,127525,54426
4,Arizona,10th Decile Highest Population,4420568,,1608139,94511,,3331925,99894,,13220,8331,5578,4420568,3331925,1608139,94511
5,Arkansas,Number,75,0,501,0,0,1210,125,0,823,2294,136422,75,1210,626,0
5,Arkansas,Number with 0 Population,0,0,0,0,0,2,0,0,0,1,48301,0,2,0,0
5,Arkansas,Median Population (Non-0),17958,0,520,0,0,549,166,0,3630,1182,16,17958,549,419,0
5,Arkansas,Mean Population (Non-0),40154,0,3998,0,0,2493,659,0,3659,1313,34,40154,2489,3331,0
5,Arkansas,1st Decile (>0) Lowest Population,4739,,20,,,6,13,,4,4,1,4739,6,13,
5,Arkansas,1st Decile (>0) Median Population,6482,,68.5,,,70,28,,1419.5,550,2,6482,70,53,
5,Arkansas,1st Decile (>0) Highest Population,7550,,96,,,124,39,,1855,644,3,7550,124,86,
5,Arkansas,2nd Decile Highest Population,10171,,157,,,212,74,,2265,790,6,10171,212,130,
5,Arkansas,3rd Decile Highest Population,12785,,243,,,292,110,,2785,906,9,12785,292,183,
5,Arkansas,4th Decile Highest Population,16568,,374,,,420,134,,3242,1052,12,16568,420,288,
5,Arkansas,5th Decile Highest Population,17958,,520,,,549,161,,3630,1181,16,17958,549,418,
5,Arkansas,6th Decile Highest Population,21131,,794,,,785,235,,3934,1353,21,21131,785,665,
5,Arkansas,7th Decile Highest Population,28260,,1587,,,1122,328,,4304,1542,29,28260,1122,1137,
5,Arkansas,8th Decile Highest Population,42600,,3015,,,1817,496,,4873,1761,42,42600,1817,2361,
5,Arkansas,9th Decile Highest Population,100180,,7045,,,4079,1325,,5573,2169,72,100180,4079,5589,
5,Arkansas,10th Decile Median Population,127799,,17774,,,8736,3170.5,,6245.5,2479,117,127799,8736,13042,
5,Arkansas,10th Decile Mean Population,202182,,30338,,,18042,4505,,6489,2659,167,202182,18042,25868,
5,Arkansas,10th Decile Highest Population,399125,,202591,,,228376,15861,,12149,5315,3204,399125,228376,202591,
6,California,Number,58,0,482,106,0,404,1129,2,9129,25607,519723,58,404,1611,108
6,California,Number with 0 Population,0,0,0,10,0,0,4,0,32,50,142132,0,0,4,10
6,California,Median Population (Non-0),186670,0,31193,144,0,17648,1185,1627,4202,1438,63,186670,17648,2997,123
6,California,Mean Population (Non-0),681694,0,68467,633,0,97867,4193,1627,4346,1547,105,681694,97867,23413,593
6,California,1st Decile (>0) Lowest Population,1204,,200,2,,193,1,,2,2,1,1204,193,1,2
6,California,1st Decile (>0) Median Population,8700,,1732,5,,1260.5,54,,1932,720,7,8700,1260.5,74.5,5
6,California,1st Decile (>0) Highest Population,16112,,4456,8,,2285,102,,2422,829,11,16112,2285,150,8
6,California,2nd Decile Highest Population,28917,,8280,28,,4897,210,,2986,998,21,28917,4897,334,28
6,California,3rd Decile Highest Population,64209,,13332,63,,7529,390,,3417,1144,34,64209,7529,803,63
6,California,4th Decile Highest Population,102241,,21738,100,,12395,725,27,3815,1289,47,102241,12395,1565,100
6,California,5th Decile Highest Population,182155,,31051,142,,17567,1169,,4202,1437,62,182155,17567,3002,142
6,California,6th Decile Highest Population,281202,,44444,191,,28249,1995,,4630,1600,80,281202,28249,5331,191
6,California,7th Decile Highest Population,473117,,62623,233,,56675,3223,3227,5081,1793,104,473117,56675,10625,237
6,California,8th Decile Highest Population,873965,,85858,538,,115121,5164,,5642,2028,141,873965,115121,23032,567
6,California,9th Decile Highest Population,1936259,,126090,1243,,238078,10625,,6435,2382,224,1936259,238078,59520,1250
6,California,10th Decile Median Population,3186989,,187335,1876,,407522,19504,,7103,2707,341,3186989,407522,95195.5,1907
6,California,10th Decile Mean Population,4219894,,355213,4773,,648975,24493,,7516,2927,440,4219894,648975,166424,4993
6,California,10th Decile Highest Population,10014009,,3898747,27090,,2561896,118786,,37892,37892,8727,10014009,2561896,3898747,27090
8,Colorado,Number,64,0,272,2,0,209,210,0,1447,4058,140345,64,209,482,2
8,Colorado,Number with 0 Population,0,0,1,0,0,0,1,0,8,15,40446,0,0,2,0
8,Colorado,Median Population (Non-0),15136,0,1264,6900,0,4514,333,0,3759,1310,33,15136,4514,824,6900
8,Colorado,Mean Population (Non-0),90214,0,15867,6900,0,27625,3418,0,4012,1428,58,90214,27625,10403,6900
8,Colorado,1st Decile (>0) Lowest Population,705,,16,,,136,7,,9,5,1,705,136,7,
8,Colorado,1st Decile (>0) Median Population,1122,,81,,,333,33.5,,1531.5,646,3,1122,333,49,
8,Colorado,1st Decile (>0) Highest Population,1748,,141,,,495,47,,1887,727,5,1748,495,75,
8,Colorado,2nd Decile Highest Population,4817,,296,,,952,97,,2486,870,9,4817,952,157,
8,Colorado,3rd Decile Highest Population,6368,,535,,,1456,138,,2962,1004,15,6368,1456,269,
8,Colorado,4th Decile Highest Population,9397,,837,1478,,2767,214,,3362,1158,23,9397,2767,493,1478
8,Colorado,5th Decile Highest Population,14555,,1264,,,4514,331,,3759,1309,33,14555,4514,837,
8,Colorado,6th Decile Highest Population,19476,,2300,,,6753,650,,4229,1465,45,19476,6753,1453,
8,Colorado,7th Decile Highest Population,29111,,4835,12321,,11670,1474,,4768,1643,59,29111,11670,2953,12321
8,Colorado,8th Decile Highest Population,61685,,8766,,,22109,3934,,5434,1886,79,61685,22109,6608,
8,Colorado,9th Decile Highest Population,357978,,29802,,,74112,9324,,6308,2273,122,357978,74112,15553,
8,Colorado,10th Decile Median Population,618990,,76378,,,134154.5,18460.5,,7165,2651,187,618990,134154.5,36011.5,
8,Colorado,10th Decile Mean Population,593756,,130318,,,209494,23668,,7621,2866,250,593756,209494,85118,
8,Colorado,10th Decile Highest Population,730395,,715522,,,715522,103444,,14773,7373,3328,730395,715522,715522,
9,Connecticut,Number,0,169,29,5,8,0,186,0,883,2716,49926,8,169,215,5
9,Connecticut,Number with 0 Population,0,0,0,1,0,0,0,0,7,11,7918,0,0,0,1
9,Connecticut,Median Population (Non-0),0,12613,35515,128,226871,0,2222,0,4063,1259,50,226871,12613,2586,44
9,Connecticut,Mean Population (Non-0),0,21337,46924,179,450743,0,4759,0,4116,1333,86,450743,21337,10446,143
9,Connecticut,1st Decile (>0) Lowest Population,,785,53,,,,20,,543,8,1,,785,20,
9,Connecticut,1st Decile (>0) Median Population,,1662,530,,,,144.5,,1806,681.5,9,,1662,151,
9,Connecticut,1st Decile (>0) Highest Population,,2429,720,,,,287,,2260,767,13,,2429,309,
9,Connecticut,2nd Decile Highest Population,,4213,1486,4,116418,,631,,2840,894,21,116418,4213,665,4
9,Connecticut,3rd Decile Highest Population,,6733,4155,,149788,,1159,,3306,1019,30,149788,6733,1186,
9,Connecticut,4th Decile Highest Population,,9224,18918,44,164245,,1539,,3616,1138,39,164245,9224,1720,44
9,Connecticut,5th Decile Highest Population,,12613,35515,,185186,,2220,,4060,1258,50,185186,12613,2586,
9,Connecticut,6th Decile Highest Population,,17528,47717,212,268555,,2955,,4367,1389,64,268555,17528,3354,212
9,Connecticut,7th Decile Highest Population,,21535,60850,,864835,,3899,,4802,1554,84,864835,21535,5202,
9,Connecticut,8th Decile Highest Population,,28733,91184,457,899498,,6150,,5370,1724,118,899498,28733,8039,457
9,Connecticut,9th Decile Highest Population,,52355,134023,,957419,,9114,,6044,1996,190,957419,52355,27923,
9,Connecticut,10th Decile Median Population,,69109,142062,,,,18213.5,,6658,2245,281,,69109,60833,
9,Connecticut,10th Decile Mean Population,,87044,142062,,,,24778,,6789,2339,350,,87044,71955,
9,Connecticut,10th Decile Highest Population,,148654,148654,,,,64083,,9522,9522,2267,,148654,148654,
10,Delaware,Number,3,0,57,0,0,27,22,2,262,706,20198,3,27,79,2
10,Delaware,Number with 0 Population,0,0,0,0,0,0,0,0,4,4,4881,0,0,0,0
10,Delaware,Median Population (Non-0),237378,0,1179,0,0,29972,3798,5319,3725,1286,36,237378,29972,2027,5319
10,Delaware,Mean Population (Non-0),329983,0,4910,0,0,36665,6693,5319,3837,1410,65,329983,36665,5407,5319
10,Delaware,1st Decile (>0) Lowest Population,,,73,,,7315,162,,1,1,1,,7315,73,
10,Delaware,1st Decile (>0) Median Population,,,139,,,7467,528,,1513,580,6,,7467,151,
10,Delaware,1st Decile (>0) Highest Population,,,178,,,7619,894,,1879,701,8,,7619,195,
10,Delaware,2nd Decile Highest Population,,,239,,,13072,1957,,2267,859,14,,13072,343,
10,Delaware,3rd Decile Highest Population,181851,,366,,,21633,2458,,2774,985,20,181851,21633,870,
10,Delaware,4th Decile Highest Population,,,870,,,26748,3017,666,3096,1112,28,,26748,1225,666
10,Delaware,5th Decile Highest Population,237378,,1179,,,29972,3492,,3722,1285,36,237378,29972,2027,
10,Delaware,6th Decile Highest Population,,,1885,,,33697,6635,,4159,1454,46,,33697,2878,
10,Delaware,7th Decile Highest Population,,,2878,,,38913,8162,9971,4676,1656,59,,38913,3865,9971
10,Delaware,8th Decile Highest Population,570719,,3961,,,67705,11692,,5391,1938,81,570719,67705,7808,
10,Delaware,9th Decile Highest Population,,,11190,,,81197,14974,,6164,2312,128,,81197,13478,
10,Delaware,10th Decile Median Population,,,30601,,,86456,19174,,6720,2651.5,212.5,,86456,23192,
10,Delaware,10th Decile Mean Population,,,35395,,,86456,19174,,6947,2824,293,,86456,31059,
10,Delaware,10th Decile Highest Population,,,70898,,,90459,23060,,8360,7643,1874,,90459,70898,
11,District of Columbia,Number,0,0,0,0,1,1,1,0,206,571,6012,1,1,1,0
11,District of Columbia,Number with 0 Population,0,0,0,0,0,0,0,0,0,9,1512,0,0,0,0
11,District of Columbia,Median Population (Non-0),0,0,0,0,689545,689545,689545,0,3262,1171,90,689545,689545,689545,0
11,District of Columbia,Mean Population (Non-0),0,0,0,0,689545,689545,689545,0,3347,1227,153,689545,689545,689545,0
11,District of Columbia,1st Decile (>0) Lowest Population,,,,,,,,,176,1,1,,,,
11,District of Columbia,1st Decile (>0) Median Population,,,,,,,,,1821.5,635,16,,,,
11,District of Columbia,1st Decile (>0) Highest Population,,,,,,,,,2064,727,26,,,,
11,District of Columbia,2nd Decile Highest Population,,,,,,,,,2461,831,42,,,,
11,District of Columbia,3rd Decile Highest Population,,,,,,,,,2755,953,56,,,,
11,District of Columbia,4th Decile Highest Population,,,,,,,,,2993,1051,72,,,,
11,District of Columbia,5th Decile Highest Population,,,,,689545,689545,689545,,3258,1170,89,689545,689545,689545,
11,District of Columbia,6th Decile Highest Population,,,,,,,,,3499,1300,114,,,,
11,District of Columbia,7th Decile Highest Population,,,,,,,,,3829,1426,146,,,,
11,District of Columbia,8th Decile Highest Population,,,,,,,,,4160,1590,195,,,,
11,District of Columbia,9th Decile Highest Population,,,,,,,,,4672,1848,334,,,,
11,District of Columbia,10th Decile Median Population,,,,,,,,,5227,2040.5,520,,,,
11,District of Columbia,10th Decile Mean Population,,,,,,,,,5377,2172,636,,,,
11,District of Columbia,10th Decile Highest Population,,,,,,,,,6879,4108,3060,,,,
12,Florida,Number,67,0,412,10,0,316,543,0,5160,13388,390066,67,316,955,10
12,Florida,Number with 0 Population,0,0,0,3,0,0,0,0,67,71,100414,0,0,0,3
12,Florida,Median Population (Non-0),129752,0,6230,239,0,23708,4467,0,3941,1446,37,129752,23708,5037,125
12,Florida,Mean Population (Non-0),321465,0,26293,413,0,68159,10687,0,4229,1617,74,321465,68159,17420,289
12,Florida,1st Decile (>0) Lowest Population,7974,,15,,,3,45,,1,1,1,7974,3,15,
12,Florida,1st Decile (>0) Median Population,12288.5,,255,,,1965,233.5,,1679,663,5,12288.5,1965,240,
12,Florida,1st Decile (>0) Highest Population,14004,,463,,,3787,433,,2083,774,8,14004,3787,461,
12,Florida,2nd Decile Highest Population,19653,,954,6,,6794,1063,,2645,956,15,19653,6794,1055,6
12,Florida,3rd Decile Highest Population,33976,,1987,52,,10671,2101,,3086,1116,22,33976,10671,2049,52
12,Florida,4th Decile Highest Population,69698,,3357,197,,15661,3006,,3485,1277,29,69698,15661,3136,197
12,Florida,5th Decile Highest Population,129752,,6215,239,,23631,4467,,3941,1446,37,129752,23631,5037,239
12,Florida,6th Decile Highest Population,188000,,10486,,,36874,6314,,4393,1631,47,188000,36874,7420,
12,Florida,7th Decile Highest Population,321905,,17425,438,,62161,10452,,4925,1855,60,321905,62161,12865,438
12,Florida,8th Decile Highest Population,434006,,36068,535,,112805,15778,,5623,2158,82,434006,112805,22260,535
12,Florida,9th Decile Highest Population,959107,,66846,1426,,194036,26324,,6735,2611,142,959107,194036,43021,1426
12,Florida,10th Decile Median Population,1475976.5,,111640,,,261814,40062.5,,7654,3062,257,1475976.5,261814,71897,
12,Florida,10th Decile Mean Population,1670595,,157206,,,324136,49975,,8269,3460,376,1670595,324136,102565,
12,Florida,10th Decile Highest Population,2701767,,949611,,,981627,114626,,22780,18071,6107,2701767,981627,949611,
13,Georgia,Number,159,0,536,1,0,586,139,1,2796,7446,232717,159,586,675,2
13,Georgia,Number with 0 Population,0,0,1,0,0,1,0,0,12,13,67384,0,1,1,0
13,Georgia,Median Population (Non-0),22842,0,1334,14,0,5554,866,6340,3719,1343,26,22842,5517,1230,3177
13,Georgia,Mean Population (Non-0),67370,0,8272,14,0,18311,6235,6340,3848,1441,65,67370,18280,7840,3177
13,Georgia,1st Decile (>0) Lowest Population,1559,,22,,,151,23,,191,26,1,1559,151,22,
13,Georgia,1st Decile (>0) Median Population,4881,,143.5,,,942.5,67.5,,1708.5,638,3,4881,942.5,116,
13,Georgia,1st Decile (>0) Highest Population,6749,,203,,,1313,94,,2050,749,5,6749,1313,165,
13,Georgia,2nd Decile Highest Population,9189,,347,,,1991,137,,2551,913,9,9189,1991,303,
13,Georgia,3rd Decile Highest Population,12518,,531,,,2924,245,,2977,1068,13,12518,2924,480,
13,Georgia,4th Decile Highest Population,18444,,825,,,3981,434,,3373,1205,19,18444,3981,764,14
13,Georgia,5th Decile Highest Population,22842,,1334,14,,5554,866,6340,3717,1342,26,22842,5554,1230,
13,Georgia,6th Decile Highest Population,28347,,2513,,,7822,1561,,4120,1497,35,28347,7822,2308,
13,Georgia,7th Decile Highest Population,43092,,3834,,,11721,2869,,4518,1682,49,43092,11721,3720,6340
13,Georgia,8th Decile Highest Population,81099,,7495,,,19556,6983,,5036,1909,74,81099,19556,7495,
13,Georgia,9th Decile Highest Population,156010,,18337,,,44488,13089,,5763,2230,138,156010,44488,17070,
13,Georgia,10th Decile Median Population,251283,,34891,,,85257.5,22468,,6374,2525.5,251,251283,85257.5,34417,
13,Georgia,10th Decile Mean Population,400807,,57200,,,110744,45714,,6667,2707,354,400807,110744,54511,
13,Georgia,10th Decile Highest Population,1066710,,498715,,,625717,202081,,12356,6305,3029,1066710,625717,498715,
15,Hawaii,Number,5,0,0,0,0,44,163,75,461,1083,14732,5,44,163,75
15,Hawaii,Number with 0 Population,0,0,0,0,0,0,0,15,29,33,4563,0,0,0,15
15,Hawaii,Median Population (Non-0),164754,0,0,0,0,9404,2699,135,3108,1262,74,164754,9404,2699,59
15,Hawaii,Mean Population (Non-0),291054,0,0,0,0,33074,8652,573,3369,1386,143,291054,33074,8652,458
15,Hawaii,1st Decile (>0) Lowest Population,,,,,,11,7,1,1,1,1,,11,7,1
15,Hawaii,1st Decile (>0) Median Population,,,,,,83,274,2,1112,550,7,,83,274,2
15,Hawaii,1st Decile (>0) Highest Population,,,,,,649,416,3,1540,688,12,,649,416,3
15,Hawaii,2nd Decile Highest Population,82,,,,,3367,773,8,1981,860,23,82,3367,773,8
15,Hawaii,3rd Decile Highest Population,,,,,,5433,1299,29,2364,1001,37,,5433,1299,29
15,Hawaii,4th Decile Highest Population,73298,,,,,7413,2110,73,2704,1128,54,73298,7413,2110,73
15,Hawaii,5th Decile Highest Population,164754,,,,,9019,2699,119,3103,1261,74,164754,9019,2699,119
15,Hawaii,6th Decile Highest Population,,,,,,12864,4215,318,3457,1436,98,,12864,4215,318
15,Hawaii,7th Decile Highest Population,200629,,,,,20917,5963,670,3941,1635,131,200629,20917,5963,670
15,Hawaii,8th Decile Highest Population,,,,,,28152,9916,1054,4647,1888,186,,28152,9916,1054
15,Hawaii,9th Decile Highest Population,1016508,,,,,46118,17697,1441,5944,2246,336,1016508,46118,17697,1441
15,Hawaii,10th Decile Median Population,,,,,,241058,28170,1886.5,6544,2516,537,,241058,28170,1886.5
15,Hawaii,10th Decile Mean Population,,,,,,234844,51063,2622,6912,2731,663,,234844,51063,2622
15,Hawaii,10th Decile Highest Population,,,,,,405295,350964,5135,11046,6147,3472,,405295,350964,5135
16,Idaho,Number,44,0,200,5,0,170,37,0,456,1284,81879,44,170,237,5
16,Idaho,Number with 0 Population,0,0,0,0,0,2,0,0,0,2,35745,0,2,0,0
16,Idaho,Median Population (Non-0),13791,0,775,5977,0,2752,291,0,3835,1327,21,13791,2705,667,5977
16,Idaho,Mean Population (Non-0),41798,0,6501,6470,0,10947,718,0,4033,1435,40,41798,10818,5598,6470
16,Idaho,1st Decile (>0) Lowest Population,790,,4,,,42,22,,42,1,1,790,42,4,
16,Idaho,1st Decile (>0) Median Population,1825.5,,80.5,,,296,32,,1679,647.5,2,1825.5,296,47,
16,Idaho,1st Decile (>0) Highest Population,3533,,131,,,385,42,,2141,764,3,3533,385,98,
16,Idaho,2nd Decile Highest Population,6372,,233,92,,802,73,,2726,904,7,6372,802,192,92
16,Idaho,3rd Decile Highest Population,7974,,358,,,1490,138,,3114,1048,10,7974,1490,308,
16,Idaho,4th Decile Highest Population,11746,,511,311,,2126,170,,3478,1187,14,11746,2126,441,311
16,Idaho,5th Decile Highest Population,13388,,763,5977,,2709,291,,3828,1325,20,13388,2709,667,5977
16,Idaho,6th Decile Highest Population,21613,,1025,,,3945,337,,4275,1477,28,21613,3945,930,
16,Idaho,7th Decile Highest Population,25386,,2096,7567,,5778,594,,4774,1676,38,25386,5778,1653,7567
16,Idaho,8th Decile Highest Population,47110,,3686,,,9414,1130,,5239,1896,53,47110,9414,3133,
16,Idaho,9th Decile Highest Population,90046,,12316,18403,,20710,3076,,6214,2232,86,90046,20710,9425,18403
16,Idaho,10th Decile Median Population,201233.5,,36344,,,47734,3195,,6766,2574.5,133,201233.5,47734,30346,
16,Idaho,10th Decile Mean Population,255350,,51124,,,76897,3647,,7137,2767,182,255350,76897,45984,
16,Idaho,10th Decile Highest Population,494967,,235684,,,386541,4556,,12294,7796,2255,494967,386541,235684,
17,Illinois,Number,102,1427,1298,0,0,279,168,0,3265,9898,369978,102,1706,1466,0
17,Illinois,Number with 0 Population,0,0,0,0,0,1,0,0,4,6,91812,0,1,0,0
17,Illinois,Median Population (Non-0),25423,988,1038,0,0,720,172,0,3753,1174,25,25423,894,871,0
17,Illinois,Mean Population (Non-0),125613,6755,8606,0,0,11413,811,0,3929,1295,46,125613,7510,7713,0
17,Illinois,1st Decile (>0) Lowest Population,3649,34,14,,,31,10,,2,2,1,3649,31,10,
17,Illinois,1st Decile (>0) Median Population,5071,193.5,100.5,,,219,23.5,,1575,606,3,5071,196.5,79,
17,Illinois,1st Decile (>0) Highest Population,6244,248,157,,,298,38,,1961,683,4,6244,253,119,
17,Illinois,2nd Decile Highest Population,12297,375,274,,,454,75,,2481,811,8,12297,388,212,
17,Illinois,3rd Decile Highest Population,14739,509,446,,,544,109,,2955,921,12,14739,516,354,
17,Illinois,4th Decile Highest Population,16866,704,656,,,643,140,,3366,1048,17,16866,668,550,
17,Illinois,5th Decile Highest Population,23768,988,1034,,,717,162,,3753,1173,25,23768,895,869,
17,Illinois,6th Decile Highest Population,34145,1422,1636,,,822,254,,4181,1318,35,34145,1191,1433,
